#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 18:07:12 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
29.680	612	29.705	532
29.730	593	29.755	549
29.781	563	29.806	567
29.831	551	29.857	596
29.882	528	29.908	617
29.932	508	29.958	636
29.984	487	30.009	652
30.034	477	30.059	666
30.085	456	30.111	676
30.135	453	30.161	678
30.186	451	30.212	679
30.237	453	30.262	672
30.288	460	30.313	663
30.338	478	30.364	646
30.389	494	30.415	633
30.439	512	30.465	610
30.491	536	30.516	586
30.541	551	30.566	573
30.592	579	30.618	547
30.642	600	30.668	533
30.693	617	30.719	513
30.743	635	30.769	505
30.795	629	30.820	498
30.845	642	30.870	497
30.896	642	30.922	503
30.946	638	30.972	510
30.997	621	31.023	523
31.048	611	31.073	533
31.099	589	31.124	560
31.149	569	31.175	583
31.200	546	31.226	603
31.250	525	31.276	624
31.302	502	31.327	640
31.352	484	31.377	658
31.403	469	31.429	665
31.453	459	31.479	674
31.504	453	31.530	677
31.554	455	31.580	675
31.606	454	31.631	668
31.656	461	31.681	661
31.707	475	31.733	647
31.757	495	31.783	625
31.808	515	31.834	604
31.859	540	31.884	583
31.910	563	31.935	563
31.960	581	31.986	544
32.011	602	32.037	524
32.061	618	32.087	523
32.113	633	32.138	506
32.163	640	32.188	497
32.214	642	32.240	499
32.264	640	32.290	504
32.315	637	32.341	513
32.365	619	32.391	527
32.417	610	32.442	544
32.467	595	32.492	563
32.518	562	32.544	586
32.568	546	32.594	603
32.619	522	32.645	624
32.670	500	32.695	631
32.721	484	32.746	658
32.771	471	32.797	669
32.822	457	32.848	673
32.872	454	32.898	673
32.924	453	32.949	672
32.974	459	32.999	666
33.025	468	33.051	654
33.075	485	33.101	636
33.126	498	33.152	619
33.176	524	33.202	599
33.228	543	33.253	577
33.279	565	33.303	555
33.329	589	33.355	536
33.380	604	33.405	525
33.430	620	33.456	511
33.482	631	33.506	503
33.532	638	33.557	509
33.583	641	33.608	493
33.633	637	33.659	508
33.684	630	33.709	522
33.735	617	33.760	532
33.786	597	33.810	552
33.836	582	33.862	567
33.887	559	33.912	588
33.937	538	33.963	608
33.989	522	34.013	628
34.039	500	34.064	641
34.090	481	34.114	660
