#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 16:43:29 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
38.043	559	38.069	617
38.094	575	38.119	633
38.145	588	38.170	644
38.195	592	38.221	654
38.246	602	38.272	660
38.296	599	38.322	659
38.348	604	38.373	660
38.398	602	38.423	649
38.449	591	38.475	638
38.499	581	38.525	624
38.550	566	38.576	612
38.600	548	38.626	590
38.652	532	38.677	571
38.702	516	38.727	556
38.753	499	38.779	536
38.803	480	38.829	521
38.854	476	38.880	509
38.905	465	38.930	499
38.956	464	38.981	496
39.006	456	39.032	496
39.057	459	39.083	499
39.107	462	39.133	510
39.159	474	39.184	517
39.209	482	39.234	530
39.260	496	39.286	544
39.310	512	39.336	567
39.361	527	39.387	579
39.411	548	39.437	596
39.463	559	39.488	618
39.513	574	39.538	633
39.564	588	39.590	645
39.614	598	39.640	652
39.665	604	39.691	658
39.716	609	39.741	658
39.767	601	39.792	656
39.818	598	39.843	650
39.868	590	39.894	637
39.919	577	39.944	622
39.970	565	39.995	598
40.021	550	40.045	588
40.071	534	40.097	575
40.122	514	40.147	556
40.172	499	40.198	537
40.224	485	40.248	522
40.274	474	40.299	509
40.325	466	40.349	499
40.375	463	40.401	496
40.426	456	40.451	495
40.476	462	40.502	499
40.528	464	40.552	508
40.578	468	40.603	518
40.629	482	40.654	534
40.679	497	40.705	546
40.730	511	40.755	566
40.781	530	40.806	589
40.832	545	40.856	600
40.882	560	40.908	617
40.933	571	40.958	632
40.983	592	41.009	646
41.035	594	41.059	656
41.085	606	41.110	657
41.136	602	41.160	653
41.186	597	41.212	653
41.237	593	41.262	646
41.287	587	41.313	638
41.339	578	41.363	620
41.389	562	41.414	605
41.440	547	41.465	583
41.490	531	41.516	561
41.541	513	41.566	554
41.592	498	41.617	533
41.643	484	41.667	521
41.693	472	41.719	508
41.744	465	41.769	502
41.794	460	41.820	498
41.846	461	41.870	493
41.896	455	41.921	503
41.947	462	41.971	509
41.997	468	42.023	522
42.048	486	42.073	536
42.098	499	42.124	549
42.150	513	42.174	574
42.200	530	42.225	585
42.251	541	42.276	609
42.301	560	42.327	624
42.352	575	42.377	633
42.403	585	42.428	650
42.454	596	42.478	652
42.504	600	42.530	655
42.555	604	42.580	656
42.605	597	42.631	651
42.657	592	42.681	642
42.707	583	42.732	630
42.758	576	42.782	617
42.808	561	42.834	596
42.859	544	42.885	581
42.909	528	42.935	567
42.961	512	42.986	544
43.011	497	43.036	529
