#Creator: pendulumviewEventBuffer
#Creation time: Sat Apr 16 16:43:29 2011
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
29.375	562	29.401	600
29.426	562	29.451	603
29.477	558	29.502	605
29.528	563	29.553	601
29.578	560	29.604	593
29.629	565	29.654	578
29.680	554	29.705	563
29.731	559	29.755	545
29.781	559	29.807	526
29.832	560	29.857	508
29.882	559	29.908	484
29.934	560	29.958	469
29.984	560	30.009	449
30.035	559	30.060	442
30.085	560	30.111	427
30.136	567	30.161	420
30.186	558	30.212	420
30.238	557	30.262	423
30.288	557	30.313	432
30.339	551	30.364	446
30.389	560	30.415	467
30.440	564	30.465	482
30.491	563	30.516	501
30.542	562	30.566	520
30.592	560	30.618	539
30.643	555	30.668	563
30.693	560	30.719	574
30.745	559	30.769	585
30.795	559	30.820	601
30.846	561	30.871	603
30.896	555	30.922	607
30.947	564	30.972	600
30.997	563	31.023	590
31.049	560	31.073	577
31.099	553	31.124	560
31.150	563	31.175	543
31.200	561	31.226	526
31.251	561	31.276	499
31.302	558	31.327	482
31.353	558	31.377	465
31.403	559	31.429	450
31.454	559	31.479	437
31.504	559	31.530	425
31.556	558	31.580	423
31.606	559	31.631	421
31.657	559	31.682	427
31.707	560	31.733	436
31.758	556	31.783	447
31.809	561	31.834	464
31.860	556	31.884	482
31.910	557	31.935	502
31.961	561	31.986	519
32.011	562	32.037	547
32.062	559	32.087	562
32.113	560	32.138	577
32.164	561	32.188	594
32.214	558	32.240	597
32.265	561	32.290	599
32.315	560	32.341	606
32.367	565	32.391	598
32.417	559	32.442	588
32.468	555	32.493	575
32.518	555	32.544	559
32.569	561	32.595	540
32.620	557	32.645	522
32.671	557	32.696	501
32.721	559	32.746	481
32.772	559	32.798	462
32.822	560	32.848	451
32.873	559	32.899	438
32.924	560	32.949	433
32.975	560	33.000	427
33.025	559	33.051	424
33.076	560	33.102	429
33.126	555	33.152	438
33.178	567	33.203	451
33.228	559	33.253	467
33.279	559	33.305	482
33.329	561	33.355	504
33.380	559	33.406	525
33.431	558	33.456	543
33.482	561	33.507	564
33.532	559	33.557	574
33.583	559	33.609	582
33.633	562	33.659	593
33.684	560	33.710	590
33.735	560	33.760	599
33.786	560	33.811	595
33.836	563	33.862	591
33.887	561	33.913	573
33.937	562	33.963	557
33.989	567	34.014	539
34.039	561	34.064	519
34.090	553	34.116	502
34.140	560	34.166	481
34.191	559	34.217	458
34.242	560	34.267	447
34.293	560	34.318	428
34.343	560	34.369	431
34.394	560	34.420	424
34.444	560	34.470	425
34.495	560	34.521	431
34.546	561	34.571	440
34.597	565	34.622	447
34.647	560	34.673	469
34.698	560	34.724	487
34.748	563	34.774	505
34.800	563	34.825	527
34.850	559	34.875	538
34.901	555	34.927	558
34.951	560	34.977	577
35.002	563	35.028	588
35.053	559	35.078	594
35.104	562	35.129	600
35.154	559	35.180	594
35.205	560	35.231	592
35.255	563	35.281	587
35.306	564	35.332	570
35.357	564	35.382	561
35.408	557	35.433	537
35.458	562	35.484	518
35.509	558	35.535	496
35.559	563	35.585	479
35.611	561	35.636	469
35.661	561	35.686	449
35.712	560	35.738	441
35.762	560	35.788	434
35.813	558	35.839	423
35.864	559	35.889	429
35.915	560	35.940	434
35.965	560	35.991	443
36.016	556	36.042	455
36.066	559	36.092	471
36.117	558	36.143	489
36.168	556	36.193	508
36.219	561	36.244	533
36.269	559	36.295	546
36.320	563	36.346	562
36.370	560	36.396	576
36.422	560	36.447	598
36.472	560	36.497	588
36.523	560	36.549	597
36.573	560	36.599	592
36.624	560	36.650	595
36.675	559	36.700	579
36.726	560	36.751	569
36.776	561	36.802	552
36.827	563	36.853	536
36.877	563	36.903	515
36.929	556	36.954	497
36.979	551	37.004	480
37.030	561	37.055	461
37.080	560	37.106	447
37.131	560	37.157	436
37.181	561	37.207	433
37.233	559	37.258	428
37.283	559	37.308	434
37.334	559	37.360	432
37.384	560	37.410	447
37.435	560	37.461	460
37.486	564	37.511	474
37.537	554	37.562	487
37.587	566	37.613	510
37.638	553	37.664	530
37.688	559	37.714	547
37.740	565	37.765	561
37.790	559	37.815	576
37.841	560	37.866	582
37.891	557	37.917	588
37.942	560	37.968	596
37.992	561	38.018	600
38.044	558	38.069	585
38.094	561	38.119	578
38.145	560	38.171	565
38.195	562	38.221	552
38.246	556	38.272	533
38.297	561	38.322	514
38.348	559	38.373	491
38.398	556	38.424	482
38.449	563	38.475	464
38.499	559	38.525	450
38.551	559	38.576	436
38.601	562	38.626	435
38.652	559	38.677	436
38.702	559	38.728	436
38.753	558	38.779	438
38.803	559	38.829	447
38.855	559	38.880	460
38.905	559	38.930	476
38.956	564	38.982	497
39.006	563	39.032	512
39.057	559	39.083	530
39.108	559	39.133	548
39.159	563	39.184	564
39.209	559	39.235	576
39.260	560	39.286	590
39.310	561	39.336	592
39.362	561	39.387	591
39.412	561	39.437	600
39.463	560	39.489	589
39.513	559	39.539	570
39.564	560	39.590	559
39.614	559	39.640	549
39.666	559	39.691	531
39.716	558	39.741	512
39.767	559	39.793	495
39.817	569	39.843	477
39.868	562	39.894	458
39.919	556	39.944	450
